gene	role	n_measurements	wu2025_dp_overlap
PSMA7	resister	1	NO
PSMB2	resister	1	NO
PSMB3	resister	1	NO
PSMB4	resister	1	NO
PSMB6	resister	1	NO
PSMB7	resister	1	NO
PSMB8	resister	1	NO
PSMC2	resister	1	NO
PSMC4	resister	1	NO
PSMD13	resister	1	NO
PSMD14	resister	1	NO
PSMD7	resister	1	NO
PSMD8	resister	1	NO
PSMD9	resister	1	NO
PSME2	resister	1	NO
PSORS1C1	resister	1	NO
PSORS1C2	resister	1	NO
PSTPIP2	resister	1	NO
PTBP3	resister	1	NO
PTCD2	resister	1	NO
PTF1A	resister	1	NO
PTGER1	resister	1	NO
PTK7	resister	1	NO
PTPLA	resister	1	NO
PTPN1	resister	1	NO
PTPN11	resister	1	NO
PTPN18	resister	1	NO
PTPN4	resister	1	NO
PTPRCAP	resister	1	NO
PTPRK	resister	1	NO
PTPRQ	resister	1	NO
PTPRS	resister	1	NO
PTRH2	resister	1	NO
PTX3	resister	1	NO
PUS3	resister	1	NO
PUS7	resister	1	NO
PVR	resister	1	NO
PVRL2	resister	1	NO
PYGL	resister	1	NO
QARS	resister	1	NO
QDPR	resister	1	NO
QPRT	resister	1	NO
QRSL1	resister	1	NO
R3HCC1L	resister	1	NO
RAB11A	resister	1	NO
RAB11B	resister	1	NO
RAB11FIP4	resister	1	NO
RAB21	resister	1	NO
RAB33B	resister	1	NO
RAB41	resister	1	NO
RAB44	resister	1	NO
RAB5A	resister	1	NO
RAB8A	resister	1	NO
RACK1	resister	1	NO
RAD1	resister	1	NO
RAD21	resister	1	NO
RAD51D	resister	1	NO
RAD52	resister	1	NO
RAET1L	resister	1	NO
RAG2	resister	1	NO
RAI1	resister	1	NO
RALBP1	resister	1	NO
RALGDS	resister	1	NO
RANBP1	resister	1	NO
RANBP6	resister	1	NO
RAPGEF4	resister	1	NO
RARG	resister	1	NO
RARS	resister	1	NO
RARS2	resister	1	NO
RASA2	resister	1	NO
RASL11A	resister	1	NO
RAVER1	resister	1	NO
RB1	resister	1	NO
RBBP5	resister	1	NO
RBBP7	resister	1	NO
RBBP8	resister	1	NO
RBFOX2	resister	1	NO
RBM25	resister	1	NO
RBM5	resister	1	NO
RBM6	resister	1	NO
RBPMS	resister	1	NO
RC3H1	resister	1	NO
RCAN2	resister	1	NO
RCHY1	resister	1	NO
RCN2	resister	1	NO
RCOR2	resister	1	NO
RDH11	resister	1	NO
RDH14	resister	1	NO
RELA	resister	1	NO
RELN	resister	1	NO
RFC3	resister	1	NO
RFK	resister	1	NO
RFPL4B	resister	1	NO
RFT1	resister	1	NO
RFX2	resister	1	NO
RFX8	resister	1	NO
RGL2	resister	1	NO
RGMB	resister	1	NO
RGP1	resister	1	NO
RGS14	resister	1	NO
RHBDD3	resister	1	NO
RHCG	resister	1	NO
RHEBL1	resister	1	NO
RIC3	resister	1	NO
RICTOR	resister	1	NO
RIOK2	resister	1	NO
RIPK2	resister	1	NO
RIPPLY1	resister	1	NO
RNASEH2A	resister	1	NO
RNASET2	resister	1	NO
RNF111	resister	1	NO
RNF114	resister	1	NO
RNF115	resister	1	NO
RNF135	resister	1	NO
RNF14	resister	1	NO
RNF141	resister	1	NO
RNF151	resister	1	NO
RNF167	resister	1	NO
RNF2	resister	1	NO
RNF20	resister	1	NO
RNF39	resister	1	NO
RNF40	resister	1	NO
RNF43	resister	1	NO
RNF8	resister	1	NO
RNFT1	resister	1	NO
RNLS	resister	1	NO
RNMT	resister	1	NO
RNMTL1	resister	1	NO
RNPS1	resister	1	NO
ROCK1	resister	1	NO
ROM1	resister	1	NO
RORC	resister	1	NO
RPE	resister	1	NO
RPF2	resister	1	NO
RPL10	resister	1	NO
RPL11	resister	1	NO
RPL12	resister	1	NO
RPL14	resister	1	NO
RPL15	resister	1	NO
RPL18	resister	1	NO
RPL18A	resister	1	NO
RPL21	resister	1	NO
RPL22L1	resister	1	NO
RPL23	resister	1	NO
RPL23A	resister	1	NO
RPL24	resister	1	NO
RPL27	resister	1	NO
RPL3	resister	1	NO
RPL31	resister	1	NO
RPL34	resister	1	NO
RPL35A	resister	1	NO
RPL36	resister	1	NO
RPL36A	resister	1	NO
RPL37A	resister	1	NO
RPL38	resister	1	NO
RPL7	resister	1	NO
RPL7A	resister	1	NO
RPL9	resister	1	NO
RPLP1	resister	1	NO
RPP14	resister	1	NO
RPP25L	resister	1	NO
RPP38	resister	1	NO
RPRD1B	resister	1	NO
RPRD2	resister	1	NO
RPS14	resister	1	NO
RPS15	resister	1	NO
RPS16	resister	1	NO
RPS18	resister	1	NO
RPS25	resister	1	NO
RPS26	resister	1	NO
RPS27	resister	1	NO
RPS3A	resister	1	NO
RPS6	resister	1	NO
RPS6KA1	resister	1	NO
RPS6KA2	resister	1	NO
RPS8	resister	1	NO
RPTOR	resister	1	NO
RRM2	resister	1	NO
RRP1B	resister	1	NO
RRP36	resister	1	NO
RRP7A	resister	1	NO
RRS1	resister	1	NO
RSAD2	resister	1	NO
RSPH3	resister	1	NO
RTF1	resister	1	NO
RTL1	resister	1	NO
RTN4IP1	resister	1	NO
RUNX1	resister	1	NO
RUNX1T1	resister	1	NO
RUVBL1	resister	1	NO
RUVBL2	resister	1	NO
RWDD1	resister	1	NO
RXFP2	resister	1	NO
RXRA	resister	1	NO
RXRB	resister	1	NO
S100G	resister	1	NO
SACM1L	resister	1	NO
SAMD15	resister	1	NO
SAMD4B	resister	1	NO
SAR1A	resister	1	NO
SBF1	resister	1	NO
SBK2	resister	1	NO
SCAF4	resister	1	NO
SCAMP2	resister	1	NO
SCD	resister	1	NO
SCMH1	resister	1	NO
SCML4	resister	1	NO
SCN3A	resister	1	NO
SCRT2	resister	1	NO
SCUBE3	resister	1	NO
SDAD1	resister	1	NO
SDC3	resister	1	NO
SDC4	resister	1	NO
SDCBP2	resister	1	NO
SDHB	resister	1	NO
SDR16C5	resister	1	NO
SEC11A	resister	1	NO
SEC11C	resister	1	NO
SEC13	resister	1	NO
SEC14L3	resister	1	NO
SEC22A	resister	1	NO
SEC23B	resister	1	NO
SEC61A1	resister	1	NO
SEC61B	resister	1	NO
SEH1L	resister	1	NO
SELT	resister	1	NO
SELV	resister	1	NO
SEMA3A	resister	1	NO
SEMA3C	resister	1	NO
SENP1	resister	1	NO
SENP6	resister	1	NO
SEPHS1	resister	1	NO
SEPHS2	resister	1	NO
SEPSECS	resister	1	NO
SERF2	resister	1	NO
SERPINF1	resister	1	NO
SERTAD1	resister	1	NO
SET	resister	1	NO
SETD3	resister	1	NO
SETD5	resister	1	NO
SETD6	resister	1	NO
SETD9	resister	1	NO
SF3B2	resister	1	NO
SF3B3	resister	1	NO
SF3B4	resister	1	NO
SFN	resister	1	NO
SFTPA2	resister	1	NO
SGCD	resister	1	NO
SGIP1	resister	1	NO
SGMS1	resister	1	NO
SGSH	resister	1	NO
SH2D7	resister	1	NO
SHISA4	resister	1	NO
SHOC2	resister	1	NO
SHPRH	resister	1	NO
SIAH1	resister	1	NO
SIGLEC12	resister	1	NO
SIGLEC7	resister	1	NO
SIGLECL1	resister	1	NO
SIGMAR1	resister	1	NO
SIN3B	resister	1	NO
SIRT3	resister	1	NO
SIRT6	resister	1	NO
SKA3	resister	1	NO
SKAP2	resister	1	NO
SLBP	resister	1	NO
SLC16A7	resister	1	NO
SLC17A2	resister	1	NO
SLC19A1	resister	1	NO
SLC1A5	resister	1	NO
SLC1A7	resister	1	NO
SLC22A16	resister	1	NO
SLC22A3	resister	1	NO
SLC23A3	resister	1	NO
SLC25A17	resister	1	NO
SLC25A24	resister	1	NO
SLC25A37	resister	1	NO
SLC26A8	resister	1	NO
SLC29A2	resister	1	NO
SLC2A1	resister	1	NO
SLC2A3	resister	1	NO
SLC30A6	resister	1	NO
SLC30A7	resister	1	NO
SLC35A1	resister	1	NO
SLC35E3	resister	1	NO
SLC35F5	resister	1	NO
SLC36A1	resister	1	NO
SLC36A3	resister	1	NO
SLC36A4	resister	1	NO
SLC44A4	resister	1	NO
SLC4A10	resister	1	NO
SLC4A1AP	resister	1	NO
SLC5A3	resister	1	NO
SLC5A9	resister	1	NO
SLC7A1	resister	1	NO
SLC7A11	resister	1	NO
SLC7A6	resister	1	NO
SLC9A2	resister	1	NO
SLC9A3R2	resister	1	NO
SLCO1A2	resister	1	NO
SLFN12L	resister	1	NO
SLURP1	resister	1	NO
SLX1B	resister	1	NO
SLX4	resister	1	NO
SMAD7	resister	1	NO
SMARCA2	resister	1	NO
SMARCA4	resister	1	NO
SMARCA5	resister	1	NO
SMARCD1	resister	1	NO
SMARCE1	resister	1	NO
SMC2	resister	1	NO
SMC3	resister	1	NO
SMC5	resister	1	NO
SMG1	resister	1	NO
SMG5	resister	1	NO
SMG6	resister	1	NO
SMNDC1	resister	1	NO
SMOC2	resister	1	NO
SMPDL3A	resister	1	NO
SMTNL1	resister	1	NO
SNAI2	resister	1	NO
SNAP23	resister	1	NO
SNAP25	resister	1	NO
SNRPE	resister	1	NO
SNRPF	resister	1	NO
SOAT2	resister	1	NO
SOCS3	resister	1	NO
SOGA1	resister	1	NO
SOX10	resister	1	NO
SOX13	resister	1	NO
SP2	resister	1	NO
SPAG1	resister	1	NO
SPAG7	resister	1	NO
SPAM1	resister	1	NO
SPATA22	resister	1	NO
SPATA31A4	resister	1	NO
SPCS2	resister	1	NO
SPDEF	resister	1	NO
SPDYE3	resister	1	NO
SPOP	resister	1	NO
SPPL2C	resister	1	NO
SPRY2	resister	1	NO
SPRY4	resister	1	NO
SPSB3	resister	1	NO
SQLE	resister	1	NO
SQSTM1	resister	1	NO
SRCAP	resister	1	NO
SRGAP2	resister	1	NO
SRI	resister	1	NO
SRL	resister	1	NO
SRP19	resister	1	NO
SRP54	resister	1	NO
SRP9	resister	1	NO
SRPR	resister	1	NO
SRRD	resister	1	NO
SRRT	resister	1	NO
SRSF2	resister	1	NO
SSPN	resister	1	NO
SSR3	resister	1	NO
ST18	resister	1	NO
ST20	resister	1	NO
ST6GALNAC3	resister	1	NO
ST8SIA6	resister	1	NO
STAG1	resister	1	NO
STAG2	resister	1	NO
STAM	resister	1	NO
STAP1	resister	1	NO
STAT4	resister	1	NO
STK11	resister	1	NO
STK11IP	resister	1	NO
STK19	resister	1	NO
STK24	resister	1	NO
STK32A	resister	1	NO
STK4	resister	1	NO
STON2	resister	1	NO
STRA8	resister	1	NO
STRADB	resister	1	NO
STRN	resister	1	NO
STT3A	resister	1	NO
STX12	resister	1	NO
STX17	resister	1	NO
STXBP1	resister	1	NO
STXBP2	resister	1	NO
STXBP3	resister	1	NO
SUCNR1	resister	1	NO
SUGP1	resister	1	NO
SUGP2	resister	1	NO
SULF1	resister	1	NO
SULT1A1	resister	1	NO
SULT1A3	resister	1	NO
SULT1C3	resister	1	NO
SULT1E1	resister	1	NO
SULT6B1	resister	1	NO
SUMO1	resister	1	NO
SUPT4H1	resister	1	NO
SUPT5H	resister	1	NO
SUPT6H	resister	1	NO
SV2B	resister	1	NO
SVIL	resister	1	NO
SYK	resister	1	NO
SYNGAP1	resister	1	NO
SYNPO	resister	1	NO
SYTL2	resister	1	NO
SZT2	resister	1	NO
TAF1	resister	1	NO
TAF11	resister	1	NO
TAF1L	resister	1	NO
TAF2	resister	1	NO
TAF3	resister	1	NO
TAF4	resister	1	NO
TAF5	resister	1	NO
TAF7	resister	1	NO
TANC1	resister	1	NO
TANC2	resister	1	NO
TANK	resister	1	NO
TAOK2	resister	1	NO
TARDBP	resister	1	NO
TARS	resister	1	NO
TBC1D15	resister	1	NO
TBC1D23	resister	1	NO
TBCA	resister	1	NO
TBL1X	resister	1	NO
TBL1XR1	resister	1	NO
TBL3	resister	1	NO
TBP	resister	1	NO
TBXAS1	resister	1	NO
TCEAL7	resister	1	NO
TCF19	resister	1	NO
TCF24	resister	1	NO
TCHHL1	resister	1	NO
TCP1	resister	1	NO
TCTE3	resister	1	NO
TDRD3	resister	1	NO
TDRD6	resister	1	NO
TEAD3	resister	1	NO
TEK	resister	1	NO
TEKT4	resister	1	NO
TELO2	resister	1	NO
TEP1	resister	1	NO
TESC	resister	1	NO
TET3	resister	1	NO
TEX30	resister	1	NO
TEX35	resister	1	NO
TFAP2A	resister	1	NO
TFAP2C	resister	1	NO
TFAP4	resister	1	NO
TFG	resister	1	NO
TGFA	resister	1	NO
TGFB2	resister	1	NO
TGIF2	resister	1	NO
TGIF2LX	resister	1	NO
THAP11	resister	1	NO
THBS4	resister	1	NO
THOC5	resister	1	NO
THOP1	resister	1	NO
TIAM1	resister	1	NO
TIAM2	resister	1	NO
TICAM1	resister	1	NO
TIGD3	resister	1	NO
TIMM17A	resister	1	NO
TIMMDC1	resister	1	NO
TIMP1	resister	1	NO
TINAGL1	resister	1	NO
TIPARP	resister	1	NO
TIPRL	resister	1	NO
TJAP1	resister	1	NO
TLE4	resister	1	NO
TLK1	resister	1	NO
TLR1	resister	1	NO
TLR10	resister	1	NO
TLR2	resister	1	NO
TLR5	resister	1	NO
TLX2	resister	1	NO
TM2D1	resister	1	NO
TM4SF1	resister	1	NO
TM9SF1	resister	1	NO
TMC3	resister	1	NO
TMCO3	resister	1	NO
TMCO4	resister	1	NO
TMED5	resister	1	NO
TMEM105	resister	1	NO
TMEM119	resister	1	NO
TMEM134	resister	1	NO
TMEM14C	resister	1	NO
TMEM150C	resister	1	NO
TMEM151A	resister	1	NO
TMEM177	resister	1	NO
TMEM209	resister	1	NO
TMEM217	resister	1	NO
TMEM230	resister	1	NO
TMEM236	resister	1	NO
TMEM242	resister	1	NO
TMEM243	resister	1	NO
TMEM251	resister	1	NO
TMEM257	resister	1	NO
TMEM30A	resister	1	NO
TMEM39A	resister	1	NO
TMEM50A	resister	1	NO
TMEM57	resister	1	NO
TMEM69	resister	1	NO
TMEM74	resister	1	NO
TMEM8B	resister	1	NO
TMPRSS11F	resister	1	NO
TMSB10	resister	1	NO
TMX2	resister	1	NO
TNFRSF12A	resister	1	NO
TNFRSF21	resister	1	NO
TNFSF10	resister	1	NO
TNFSF9	resister	1	NO
TNKS1BP1	resister	1	NO
TNPO2	resister	1	NO
TNRC6B	resister	1	NO
TOMM6	resister	1	NO
TOP2A	resister	1	NO
TOPAZ1	resister	1	NO
TOR1AIP1	resister	1	NO
TP53	resister	1	NO
TP53TG5	resister	1	NO
TPD52L2	resister	1	NO
TPO	resister	1	NO
TPRKB	resister	1	NO
TPRN	resister	1	NO
TPRX1	resister	1	NO
TPST2	resister	1	NO
TPTE	resister	1	NO
TRA2A	resister	1	NO
TRA2B	resister	1	NO
TRAF5	resister	1	NO
TRAF7	resister	1	NO
TRAK1	resister	1	NO
TRAM1	resister	1	NO
TREM2	resister	1	NO
TRIB2	resister	1	NO
TRIM16	resister	1	NO
TRIM23	resister	1	NO
TRIM24	resister	1	NO
TRIM33	resister	1	NO
TRIM4	resister	1	NO
TRIM45	resister	1	NO
TRIM59	resister	1	NO
TRIP10	resister	1	NO
TRIP12	resister	1	NO
TRIT1	resister	1	NO
TRMT11	resister	1	NO
TRMT112	resister	1	NO
TROVE2	resister	1	NO
TRRAP	resister	1	NO
TSC1	resister	1	NO
TSEN34	resister	1	NO
TSNARE1	resister	1	NO
TSPAN12	resister	1	NO
TSPAN13	resister	1	NO
TSPAN19	resister	1	NO
TSPYL5	resister	1	NO
TSR1	resister	1	NO
TSSK6	resister	1	NO
TSTD2	resister	1	NO
TTC1	resister	1	NO
TTC32	resister	1	NO
TTC8	resister	1	NO
TTF2	resister	1	NO
TTI1	resister	1	NO
TTI2	resister	1	NO
TTL	resister	1	NO
TTLL2	resister	1	NO
TTPAL	resister	1	NO
TUBB2B	resister	1	NO
TUBB4A	resister	1	NO
TUBD1	resister	1	NO
TUBG1	resister	1	NO
TUBGCP4	resister	1	NO
TULP1	resister	1	NO
TWF1	resister	1	NO
TXNDC17	resister	1	NO
TXNL4A	resister	1	NO
TXNRD1	resister	1	NO
TYRO3	resister	1	NO
TYRP1	resister	1	NO
U2AF1	resister	1	NO
U2SURP	resister	1	NO
UBA2	resister	1	NO
UBA5	resister	1	NO
UBA6	resister	1	NO
UBC	resister	1	NO
UBE2D3	resister	1	NO
UBE2F	resister	1	NO
UBE2G1	resister	1	NO
UBE2K	resister	1	NO
UBE2Q2	resister	1	NO
UBE2Z	resister	1	NO
UBE3C	resister	1	NO
UBL5	resister	1	NO
UBN2	resister	1	NO
UBQLN1	resister	1	NO
UBR1	resister	1	NO
UBR2	resister	1	NO
UBR7	resister	1	NO
UBTD1	resister	1	NO
UCKL1	resister	1	NO
UFL1	resister	1	NO
UGCG	resister	1	NO
UGP2	resister	1	NO
UGT2A2	resister	1	NO
UGT8	resister	1	NO
UHRF1	resister	1	NO
UIMC1	resister	1	NO
UNC13C	resister	1	NO
UNC5CL	resister	1	NO
UNC79	resister	1	NO
UNC93A	resister	1	NO
UNG	resister	1	NO
UPB1	resister	1	NO
UPF1	resister	1	NO
UQCR11	resister	1	NO
URI1	resister	1	NO
UROD	resister	1	NO
UROS	resister	1	NO
USP11	resister	1	NO
USP29	resister	1	NO
USP3	resister	1	NO
USP30	resister	1	NO
USP31	resister	1	NO
USP4	resister	1	NO
USP42	resister	1	NO
USP47	resister	1	NO
USP5	resister	1	NO
UTS2B	resister	1	NO
UVSSA	resister	1	NO
UXS1	resister	1	NO
VAPA	resister	1	NO
VAV3	resister	1	NO
VCP	resister	1	NO
VEGFA	resister	1	NO
VEGFB	resister	1	NO
VEZF1	resister	1	NO
VGF	resister	1	NO
VGLL4	resister	1	NO
VIM	resister	1	NO
VIPR1	resister	1	NO
VN1R1	resister	1	NO
VN1R2	resister	1	NO
VN1R4	resister	1	NO
VPRBP	resister	1	NO
VPS18	resister	1	NO
VPS37D	resister	1	NO
VPS41	resister	1	NO
VPS8	resister	1	NO
VRK3	resister	1	NO
VSTM4	resister	1	NO
VTN	resister	1	NO
WAS	resister	1	NO
WBP4	resister	1	NO
WBSCR22	resister	1	NO
WDR11	resister	1	NO
WDR27	resister	1	NO
WDR4	resister	1	NO
WDR63	resister	1	NO
WDR7	resister	1	NO
WDR70	resister	1	NO
WDR74	resister	1	NO
WDR75	resister	1	NO
WDR77	resister	1	NO
WDR90	resister	1	NO
WFIKKN1	resister	1	NO
WIZ	resister	1	NO
WNT2	resister	1	NO
WNT5B	resister	1	NO
WNT7A	resister	1	NO
WWC2	resister	1	NO
WWTR1	resister	1	NO
XCR1	resister	1	NO
XPNPEP1	resister	1	NO
XPO1	resister	1	NO
XPO6	resister	1	NO
XRCC4	resister	1	NO
XYLB	resister	1	NO
YARS2	resister	1	NO
YEATS4	resister	1	NO
YIPF5	resister	1	NO
YLPM1	resister	1	NO
YWHAE	resister	1	NO
YWHAG	resister	1	NO
YY1	resister	1	NO
ZBED4	resister	1	NO
ZBTB21	resister	1	NO
ZBTB9	resister	1	NO
ZC3H12C	resister	1	NO
ZC3H7B	resister	1	NO
ZC3H8	resister	1	NO
ZCCHC10	resister	1	NO
ZCCHC7	resister	1	NO
ZCWPW1	resister	1	NO
ZDHHC14	resister	1	NO
ZDHHC8	resister	1	NO
ZEB1	resister	1	NO
ZFHX3	resister	1	NO
ZFP2	resister	1	NO
ZFP36L2	resister	1	NO
ZFP42	resister	1	NO
ZFR	resister	1	NO
ZFYVE21	resister	1	NO
ZFYVE28	resister	1	NO
ZIC2	resister	1	NO
ZIK1	resister	1	NO
ZIM3	resister	1	NO
ZKSCAN2	resister	1	NO
ZMIZ1	resister	1	NO
ZMYM3	resister	1	NO
ZNF106	resister	1	NO
ZNF124	resister	1	NO
ZNF131	resister	1	NO
ZNF148	resister	1	NO
ZNF154	resister	1	NO
ZNF213	resister	1	NO
ZNF222	resister	1	NO
ZNF229	resister	1	NO
ZNF253	resister	1	NO
ZNF280C	resister	1	NO
ZNF287	resister	1	NO
ZNF318	resister	1	NO
ZNF341	resister	1	NO
ZNF367	resister	1	NO
ZNF41	resister	1	NO
ZNF414	resister	1	NO
ZNF415	resister	1	NO
ZNF43	resister	1	NO
ZNF430	resister	1	NO
ZNF433	resister	1	NO
ZNF461	resister	1	NO
ZNF519	resister	1	NO
ZNF552	resister	1	NO
ZNF566	resister	1	NO
ZNF569	resister	1	NO
ZNF574	resister	1	NO
ZNF576	resister	1	NO
ZNF597	resister	1	NO
ZNF598	resister	1	NO
ZNF613	resister	1	NO
ZNF619	resister	1	NO
ZNF622	resister	1	NO
ZNF655	resister	1	NO
ZNF665	resister	1	NO
ZNF689	resister	1	NO
ZNF697	resister	1	NO
ZNF716	resister	1	NO
ZNF728	resister	1	NO
ZNF750	resister	1	NO
ZNF76	resister	1	NO
ZNF770	resister	1	NO
ZNF786	resister	1	NO
ZNF846	resister	1	NO
ZNF850	resister	1	NO
ZNHIT1	resister	1	NO
ZSCAN10	resister	1	NO
ZSCAN18	resister	1	NO
ZXDA	resister	1	NO
hsa-mir-101-2	resister	1	NO
hsa-mir-1207	resister	1	NO
hsa-mir-1236	resister	1	NO
hsa-mir-1268b	resister	1	NO
hsa-mir-1273a	resister	1	NO
hsa-mir-1289-2	resister	1	NO
hsa-mir-1299	resister	1	NO
hsa-mir-1303	resister	1	NO
hsa-mir-1321	resister	1	NO
hsa-mir-147b	resister	1	NO
hsa-mir-153-1	resister	1	NO
hsa-mir-1910	resister	1	NO
hsa-mir-3064	resister	1	NO
hsa-mir-3188	resister	1	NO
hsa-mir-3197	resister	1	NO
hsa-mir-320e	resister	1	NO
hsa-mir-328	resister	1	NO
hsa-mir-378f	resister	1	NO
hsa-mir-3925	resister	1	NO
hsa-mir-3929	resister	1	NO
hsa-mir-3936	resister	1	NO
hsa-mir-410	resister	1	NO
hsa-mir-421	resister	1	NO
hsa-mir-4261	resister	1	NO
hsa-mir-4266	resister	1	NO
hsa-mir-4425	resister	1	NO
hsa-mir-4442	resister	1	NO
hsa-mir-4443	resister	1	NO
hsa-mir-4467	resister	1	NO
hsa-mir-4484	resister	1	NO
hsa-mir-4489	resister	1	NO
hsa-mir-4503	resister	1	NO
hsa-mir-4538	resister	1	NO
hsa-mir-4639	resister	1	NO
hsa-mir-4651	resister	1	NO
hsa-mir-4665	resister	1	NO
hsa-mir-4675	resister	1	NO
hsa-mir-4700	resister	1	NO
hsa-mir-4728	resister	1	NO
hsa-mir-4802	resister	1	NO
hsa-mir-487a	resister	1	NO
hsa-mir-489	resister	1	NO
hsa-mir-520a	resister	1	NO
hsa-mir-544b	resister	1	NO
hsa-mir-548e	resister	1	NO
hsa-mir-548s	resister	1	NO
hsa-mir-566	resister	1	NO
hsa-mir-611	resister	1	NO
hsa-mir-6127	resister	1	NO
hsa-mir-6516	resister	1	NO
hsa-mir-654	resister	1	NO
hsa-mir-657	resister	1	NO
hsa-mir-6789	resister	1	NO
hsa-mir-7114	resister	1	NO
hsa-mir-7856	resister	1	NO
hsa-mir-8078	resister	1	NO
hsa-mir-877	resister	1	NO
SOCS1	sensitizer	15	NO
CFLAR	sensitizer	14	NO
TRAF2	sensitizer	14	NO
HLA-E	sensitizer	13	NO
PTPN2	sensitizer	13	NO
RNF31	sensitizer	12	NO
ATG5	sensitizer	11	NO
IKBKG	sensitizer	11	NO
RBCK1	sensitizer	11	NO
ADAR	sensitizer	10	NO
SETDB1	sensitizer	10	NO
STAT1	sensitizer	10	NO
TBK1	sensitizer	10	YES
IRF1	sensitizer	9	NO
TAP2	sensitizer	9	YES
TNFAIP3	sensitizer	9	NO
UBE2N	sensitizer	9	NO
ATG12	sensitizer	8	NO
ATG3	sensitizer	8	NO
CD274	sensitizer	8	NO
ERAP1	sensitizer	8	NO
FITM2	sensitizer	8	NO
GPAA1	sensitizer	8	NO
GPI	sensitizer	8	NO
SERPINB9	sensitizer	8	NO
STUB1	sensitizer	8	NO
TAP1	sensitizer	8	YES
ATG10	sensitizer	7	NO
B2M	sensitizer	7	NO
BIRC2	sensitizer	7	YES
CALR	sensitizer	7	NO
CHIC2	sensitizer	7	NO
IFNGR1	sensitizer	7	NO
PSMB8	sensitizer	7	YES
RB1CC1	sensitizer	7	YES
RELA	sensitizer	7	NO
RIPK1	sensitizer	7	NO
TAPBP	sensitizer	7	YES
VPS4B	sensitizer	7	NO
ATG13	sensitizer	6	NO
CHMP3	sensitizer	6	YES
CHMP5	sensitizer	6	NO
EMC6	sensitizer	6	NO
FADD	sensitizer	6	NO
IKBKB	sensitizer	6	NO
IST1	sensitizer	6	NO
JAK2	sensitizer	6	NO
JMJD6	sensitizer	6	NO
KEAP1	sensitizer	6	NO
KMT2D	sensitizer	6	NO
MAPK1	sensitizer	6	NO
MCL1	sensitizer	6	YES
MPHOSPH8	sensitizer	6	NO
PDIA3	sensitizer	6	NO
PIGS	sensitizer	6	NO
PIGU	sensitizer	6	NO
SETD1A	sensitizer	6	NO
TAB1	sensitizer	6	NO
TAB2	sensitizer	6	NO
TMEM127	sensitizer	6	NO
VPS16	sensitizer	6	NO
VPS29	sensitizer	6	NO
VPS33A	sensitizer	6	NO
ATG14	sensitizer	5	NO
ATG7	sensitizer	5	NO
BAP1	sensitizer	5	NO
BECN1	sensitizer	5	NO
CDK13	sensitizer	5	NO
CREBBP	sensitizer	5	NO
DDX59	sensitizer	5	NO
DNAJC13	sensitizer	5	NO
EMC8	sensitizer	5	NO
FAM58A	sensitizer	5	NO
GALE	sensitizer	5	NO
HDAC1	sensitizer	5	NO
HM13	sensitizer	5	NO
HSPA13	sensitizer	5	NO
JAK1	sensitizer	5	NO
KLF5	sensitizer	5	NO
LIPT2	sensitizer	5	NO
MED23	sensitizer	5	NO
MORC2	sensitizer	5	NO
MTA2	sensitizer	5	NO
PCBP1	sensitizer	5	YES
PIGK	sensitizer	5	YES
PIK3C3	sensitizer	5	NO
PKN2	sensitizer	5	NO
PPHLN1	sensitizer	5	YES
PPP1R8	sensitizer	5	YES
PSMG1	sensitizer	5	NO
PTAR1	sensitizer	5	NO
PTPN1	sensitizer	5	NO
RER1	sensitizer	5	NO
RGP1	sensitizer	5	NO
RIC8A	sensitizer	5	NO
SLC33A1	sensitizer	5	NO
SMARCA4	sensitizer	5	NO
SMARCA5	sensitizer	5	NO
TFRC	sensitizer	5	NO
TPI1	sensitizer	5	NO
TRAF3	sensitizer	5	NO
TRAF6	sensitizer	5	NO
VPS11	sensitizer	5	NO
WIPI2	sensitizer	5	NO
XRN1	sensitizer	5	NO
ADNP	sensitizer	4	NO
AGO2	sensitizer	4	NO
ARID2	sensitizer	4	YES
ARID4A	sensitizer	4	NO
ATF4	sensitizer	4	NO
ATG16L1	sensitizer	4	NO
ATG2A	sensitizer	4	NO
ATG9A	sensitizer	4	NO
BCL2L1	sensitizer	4	NO
C1orf27	sensitizer	4	NO
CCNA2	sensitizer	4	NO
CCNC	sensitizer	4	NO
CDK2	sensitizer	4	YES
CHD1	sensitizer	4	NO
CHMP1A	sensitizer	4	NO
CHMP6	sensitizer	4	NO
CMAS	sensitizer	4	NO
CTCF	sensitizer	4	NO
DCP1A	sensitizer	4	NO
EI24	sensitizer	4	NO
EMC3	sensitizer	4	NO
EMC4	sensitizer	4	NO
ERI1	sensitizer	4	NO
GFPT1	sensitizer	4	NO
GPX4	sensitizer	4	NO
HIRA	sensitizer	4	NO
HSD17B10	sensitizer	4	NO
IARS2	sensitizer	4	NO
ICMT	sensitizer	4	NO
ILK	sensitizer	4	NO
IPPK	sensitizer	4	NO
ITGAV	sensitizer	4	NO
ITGB5	sensitizer	4	NO
KDM5A	sensitizer	4	NO
MAEA	sensitizer	4	NO
MAP3K7	sensitizer	4	NO
MED16	sensitizer	4	NO
MED24	sensitizer	4	YES
MGAT1	sensitizer	4	NO
N6AMT1	sensitizer	4	NO
NCSTN	sensitizer	4	NO
PHF23	sensitizer	4	NO
PIGT	sensitizer	4	NO
PPP1CA	sensitizer	4	NO
