gene	role	n_measurements	wu2025_dp_overlap
AEN	resister	1	NO
AFAP1	resister	1	NO
AFF1	resister	1	NO
AGA	resister	1	NO
AGAP1	resister	1	NO
AGAP6	resister	1	NO
AGGF1	resister	1	NO
AGO2	resister	1	NO
AGPS	resister	1	NO
AGXT	resister	1	NO
AHCTF1	resister	1	NO
AHDC1	resister	1	NO
AHSP	resister	1	NO
AIDA	resister	1	NO
AIF1	resister	1	NO
AIF1L	resister	1	NO
AK2	resister	1	NO
AK3	resister	1	NO
AK6	resister	1	NO
AKT3	resister	1	NO
ALB	resister	1	NO
ALDH3B2	resister	1	NO
ALDH7A1	resister	1	NO
ALDOA	resister	1	NO
ALDOC	resister	1	NO
ALG10	resister	1	NO
ALG10B	resister	1	NO
ALG5	resister	1	NO
ALG8	resister	1	NO
ALG9	resister	1	NO
ALK	resister	1	NO
ALKBH7	resister	1	NO
ALKBH8	resister	1	NO
ALOX12	resister	1	NO
AMACR	resister	1	NO
AMBP	resister	1	NO
AMDHD2	resister	1	NO
AMER1	resister	1	NO
AMH	resister	1	NO
AMOT	resister	1	NO
AMOTL2	resister	1	NO
AMZ2	resister	1	NO
ANAPC4	resister	1	NO
ANG	resister	1	NO
ANGPTL3	resister	1	NO
ANGPTL4	resister	1	NO
ANKHD1-EIF4EBP3	resister	1	NO
ANKLE2	resister	1	NO
ANKRD11	resister	1	NO
ANKRD17	resister	1	NO
ANKRD24	resister	1	NO
ANKRD30B	resister	1	NO
ANKRD36	resister	1	NO
ANKRD44	resister	1	NO
ANKRD49	resister	1	NO
ANKRD6	resister	1	NO
ANKS3	resister	1	NO
ANO1	resister	1	NO
ANO8	resister	1	NO
ANP32E	resister	1	NO
ANXA5	resister	1	NO
AOAH	resister	1	NO
AP1S3	resister	1	NO
AP2A1	resister	1	NO
AP2M1	resister	1	NO
AP5B1	resister	1	NO
AP5Z1	resister	1	NO
APCS	resister	1	NO
APEX1	resister	1	NO
APH1A	resister	1	NO
APLNR	resister	1	NO
APMAP	resister	1	NO
APOB	resister	1	NO
APOBEC2	resister	1	NO
APOC2	resister	1	NO
APOE	resister	1	NO
APOL6	resister	1	NO
APOO	resister	1	NO
AQP3	resister	1	NO
AREL1	resister	1	NO
ARF6	resister	1	NO
ARFGEF1	resister	1	NO
ARHGAP11B	resister	1	NO
ARHGAP21	resister	1	NO
ARHGAP22	resister	1	NO
ARHGAP36	resister	1	NO
ARHGAP5	resister	1	NO
ARHGDIG	resister	1	NO
ARHGEF18	resister	1	NO
ARID1A	resister	1	NO
ARID1B	resister	1	NO
ARIH1	resister	1	NO
ARRDC3	resister	1	NO
ARSK	resister	1	NO
ASB16	resister	1	NO
ASB6	resister	1	NO
ASB7	resister	1	NO
ASPDH	resister	1	NO
ASUN	resister	1	NO
ASXL2	resister	1	NO
ATAD3A	resister	1	NO
ATF4	resister	1	NO
ATL2	resister	1	NO
ATP10A	resister	1	NO
